Unsorted	Matched_Master	Phase	Category	Score
2022 BRISTOL-MYERS QUIBB: An Open-Label, Single-Sequence, Crossover Study to Investigate the Interaction of Multiple Doses of XXXX at Steady State and Multiple Doses of a Combined Oral Hormonal Contraceptive (XXXX XXXX/XXXX) in Healthy Female Participants	2022 BRISTOL-MYERS QUIBB: An Open-Label, Single-Sequence, Crossover Study to Investigate the Interaction of Multiple Doses of XXXX at Steady State and Multiple Doses of a Combined Oral Hormonal Contraceptive (XXXX XXXX/XXXX) in Healthy Female Participants	Phase I	Healthy Adults	1.000
2022 BRISTOL-MYERS SQUIBB: A Phase I, Open-Label, Randomized, Two-part Parallel Study to Compare the Pharmacokinetics of Single Subcutaneous Injections of XXXX (also known as XXXX and XXXX) Administered using Autoinjector versus using Prefilled Syringe, and to Evaluate the Pharmacokinetics of XXXX When Administered by Autoinjector at Different Injection Sites, in Healthy Participants.	2022 BRISTOL-MYERS SQUIBB: A Phase I, Open-Label, Randomized, Two-part Parallel Study to Compare the Pharmacokinetics of Single Subcutaneous Injections of XXXX (also known as XXXX and XXXX) Administered using Autoinjector versus using Prefilled Syringe, and to Evaluate the Pharmacokinetics of XXXX When Administered by Autoinjector at Different Injection Sites, in Healthy Participants.	Phase I	Healthy Adults	1.000
2022 PFIZER: A Phase 1, Open-Label, Randomized, Single Dose, 2-Way Crossover Study Assessing Pharmacokinetic Comparability Of Two XXXX Presentations, On-Body Injector And Prefilled Syringe, In Healthy Participants	2022 PFIZER: A Phase 1, Open-Label, Randomized, Single Dose, 2-Way Crossover Study Assessing Pharmacokinetic Comparability Of Two XXXX Presentations, On-Body Injector And Prefilled Syringe, In Healthy Participants	Phase I	Healthy Adults	1.000
2021 BIOGEN: A Randomized, Open-Label, Parallel-Arm Study to Assess the Absolute Bioavailability of a Single, Fixed Subcutaneous Dose of XXXX (XXXX) Compared to a Single, Weight-Based Intravenous Dose in Healthy Volunteers.	2021 BIOGEN: A Randomized, Open-Label, Parallel-Arm Study to Assess the Absolute Bioavailability of a Single, Fixed Subcutaneous Dose of XXXX (XXXX) Compared to a Single, Weight-Based Intravenous Dose in Healthy Volunteers.	Phase I	Healthy Adults	1.000
2021 BIOGEN: A Phase 1, Randomized, Blinded, Placebo-Controlled, Single and Multiple-Ascending Dose Study of the Safety, Tolerability, Pharmacokinetics, and Pharmacodynamics of XXXX in Healthy Adults.	2021 BIOGEN: A Phase 1, Randomized, Blinded, Placebo-Controlled, Single and Multiple-Ascending Dose Study of the Safety, Tolerability, Pharmacokinetics, and Pharmacodynamics of XXXX in Healthy Adults.	Phase I	Healthy Adults	1.000
2021 CELGENE INTERNATIONAL: A Phase 1, Randomized, Double-Blind, Placebo-Controlled, Active-Controlled (XXXX), Comparator-Controlled (XXXX), Multiple-Dose, Parallel-Group Study to Investigate the Pressor Effect of Oral XXXX During XXXX Treatment in Healthy Adult Subjects.	2021 CELGENE INTERNATIONAL: A Phase 1, Randomized, Double-Blind, Placebo-Controlled, Active-Controlled (XXXX), Comparator-Controlled (XXXX), Multiple-Dose, Parallel-Group Study to Investigate the Pressor Effect of Oral XXXX During XXXX Treatment in Healthy Adult Subjects.	Phase I	Healthy Adults	1.000
2020 ABBVIE: A Phase 1, Pharmacokinetic Comparability Study of Intravenous and Subcutaneous Administration of XXXX in Healthy Subjects	2020 ABBVIE: A Phase 1, Pharmacokinetic Comparability Study of Intravenous and Subcutaneous Administration of XXXX in Healthy Subjects	Phase I	Healthy Adults	1.000
2020 GENERON CORP.: A Phase 1, Randomized, Double-Blind, Placebo-Controlled, Single Ascending Dose Study to Evaluate the Safety, Tolerability, and Pharmacokinetics of XXXX in Healthy Male Subjects.	2020 GENERON CORP.: A Phase 1, Randomized, Double-Blind, Placebo-Controlled, Single Ascending Dose Study to Evaluate the Safety, Tolerability, and Pharmacokinetics of XXXX in Healthy Male Subjects.	Phase I	Healthy Adults	1.000
2020 GLAXOSMITHKLINE: A Phase 1, Randomized, Double-Blind, Single Ascending Dose Study to Determine the Safety and Tolerability, Pharmacokinetics and Pharmacodynamics of XXXX Administered Subcutaneously in Healthy Participants Cardiovascular	2020 GLAXOSMITHKLINE: A Phase 1, Randomized, Double-Blind, Single Ascending Dose Study to Determine the Safety and Tolerability, Pharmacokinetics and Pharmacodynamics of XXXX Administered Subcutaneously in Healthy Participants	Phase I	Healthy Adults	0.964
2023 BRISTOL-MYERS SQUIBB: An Open-label, Randomized, Single-dose, Three-way Crossover Study to Establish Bioequivalence of 5 mg XXXX Capsule 1 and 5 × 1 mg XXXX Capsule 2 to 5 mg XXXX Capsule 2 in Healthy Participants Dermatology	2023 BRISTOL-MYERS SQUIBB: An Open-label, Randomized, Single-dose, Three-way Crossover Study to Establish Bioequivalence of 5 mg XXXX Capsule 1 and 5 × 1 mg XXXX Capsule 2 to 5 mg XXXX Capsule 2 in Healthy Participants	Phase I	Cardiovascular	0.966
2024 ELI LILLY AND COMPANY J4L-MC-KMAA: a Phase I, Multicenter, Randomized, Placebo-Controlled, Double-Blind, Single-Ascending Dose Study of XXXX in Healthy Participants, a Multiple-Ascending Dose Study of XXXX in Patients with Atopic Dermatitis, and an Open-Label Multiple-Dose Evaluation of the Safety and Tolerability of Prednisone in Health Participants.	2024 ELI LILLY AND COMPANY: a Phase I, Multicenter, Randomized, Placebo-Controlled, Double-Blind, Single-Ascending Dose Study of XXXX in Healthy Participants, a Multiple-Ascending Dose Study of XXXX in Patients with Atopic Dermatitis, and an Open-Label Multiple-Dose Evaluation of the Safety and Tolerability of Prednisone in Health Participants.	Phase I	Dermatology	0.980
2024 PFIZER C4991001: A Phase 1, First in Human, Randomized, Double-Blind, Sponsor open, Placebo-Controlled, Single- and Multiple Dose Escalation, Parallel Group Study to Evaluate the Safety, Tolerability, Pharmacokinetics and Pharmacodynamics of Pf-07832837 in Healthy Participants and Participants with Moderate to Severe Atopic Dermatitis Endocrinology/Metabolic	2024 PFIZER: A Phase 1, First in Human, Randomized, Double-Blind, Sponsor open, Placebo-Controlled, Single- and Multiple Dose Escalation, Parallel Group Study to Evaluate the Safety, Tolerability, Pharmacokinetics and Pharmacodynamics of in Healthy Participants and Participants with Moderate to Severe Atopic Dermatitis	Phase I	Dermatology	0.912
2025 KAILERA K7535-1709: A Phase 1, Open-Label, Randomized, Crossover Study to Evaluate the Effect of a Low Fat Meal and Evening Dosing on the Pharmacokinetics and Tolerability of KAI-7535 in Healthy Participants Living with Obesity or Overweight	2025 KAILERA: A Phase 1, Open-Label, Randomized, Crossover Study to Evaluate the Effect of a Low Fat Meal and Evening Dosing on the Pharmacokinetics and Tolerability of XXX in Healthy Participants Living with Obesity or Overweight	Phase I	Endocrinology/Metabolic	1.000
2025 AMGEN INC. 20230259 (777790): A Phase 1, Open-Label, Randomized, Parallel-group Study to Assess the Relative Bioavailability of MaridebartCafraglutide (AMG 133) As Two Subcutaneous Presentations in Participants Living With Overweight or Obesity	2025 AMGEN INC.: A Phase 1, Open-Label, Randomized, Parallel-group Study to Assess the Relative Bioavailability of XXX (XXX) As Two Subcutaneous Presentations in Participants Living With Overweight or Obesity	Phase I	Endocrinology/Metabolic	0.873
2025 ELI LILLYANDCOMPANY J3R-MC-YDAE: A Phase 1, Open-Label, Single and Multiple Dose Study to Investigate the Safety, Tolerability, and Relative Bioavailability of Single and Multiple Weekly Subcutaneous Doses of XXXX, and Single and Multiple Weekly Subcutaneous Doses of XXXX with XXXX in Participants with Overweight or Obesity	2025 ELI LILLYANDCOMPANY: A Phase 1, Open-Label, Single and Multiple Dose Study to Investigate the Safety, Tolerability, and Relative Bioavailability of Single and Multiple Weekly Subcutaneous Doses of XXXX, and Single and Multiple Weekly Subcutaneous Doses of XXXX with XXXX in Participants with Overweight or Obesity	Phase I	Endocrinology/Metabolic	0.978
2025 AMGEN 20210268: A Phase 1, Open-label, Randomized, Parallel-group Study to Assess the Relative Bioavailability of Maridebart Cafraglutide (AMG 133) as Two Subcutaneous Presentations in Participants Living with Overweight or Obesity	2025 AMGEN: A Phase 1, Open-label, Randomized, Parallel-group Study to Assess the Relative Bioavailability of Maridebart Cafraglutide (XXX) as Two Subcutaneous Presentations in Participants Living with Overweight or Obesity	Phase I	Endocrinology/Metabolic	0.916
2025 PFIZER C5541009: A Phase 1, Open-Label, Fixed-Sequence Study to Evaluate the Pharmacokinetic Interactions Between XXXX and XXX in Otherwise Healthy Adult Participants with Overweight or Obesity	2025 PFIZER: A Phase 1, Open-Label, Fixed-Sequence Study to Evaluate the Pharmacokinetic Interactions Between XXXX and XXX in Otherwise Healthy Adult Participants with Overweight or Obesity	Phase I	Endocrinology/Metabolic	0.969
2024 METSERA MET233/097-25-201: A Phase 2B, Multi-Center, Randomized, Placebo-Controlled, Double-Blind, Double-Dummy, Dose-Ranging Study to Investigate the Safety and Efficacy of Weekly and Monthly Regimens of Coad ministered MET233 And MET097 In Adult Participants with Overweight or Obesity	2024 METSERA: A Phase 2B, Multi-Center, Randomized, Placebo-Controlled, Double-Blind, Double-Dummy, Dose-Ranging Study To Investigate The Safety And Efficacy Of Weekly And Monthly Regimens Of Coad ministered XXX And XXX In Adult Participants With Overweight Or Obesity	Phase II-IV	Endocrinology/Metabolic	0.903
2024 AMGEN 20240195: A Phase 1, Randomized, Double-blind, Multiple-dose Study to Evaluate the Pharmacokinetics of AMG 133 Administered Subcutaneously in Subjects with Overweight or Obesity	2024 AMGEN: A Phase 1, Randomized, Double-blind, Multiple-dose Study to Evaluate the Pharmacokinetics of XXX XXX Administered Subcutaneously in Subjects with Overweight or Obesity	Phase I	Endocrinology/Metabolic	0.927
2024 AMGEN 20230022: A Phase 1, Randomized, Double-blind, Placebo-controlled, Single Ascending Dose and Multiple Ascending Dose Study to Evaluate the Safety, Tolerability, Pharmacokinetics, and Pharmacodynamics of AMG 513 in Participants with Obesity	2024 AMGEN: A Phase 1, Randomized, Double-blind, Placebo-controlled, Single Ascending Dose and Multiple Ascending Dose Study to Evaluate the Safety, Tolerability, Pharmacokinetics, and Pharmacodynamics of XXX in Participants with Obesity	Phase I	Endocrinology/Metabolic	0.942
2024 AMGEN 20210205: A Phase 1, Randomized, Open-label, Single-dose, Parallel Group Study to Assess the Relative Bioavailability of AMG 133 Administered Using One of Three Drug Products in Participants Living with Overweight or Obesity	2024 AMGEN: A Phase 1, Randomized, Open-label, Single-dose, Parallel Group Study to Assess the Relative Bioavailability of XXX Administered Using One of Three Drug Products in Participants Living with Overweight or Obesity	Phase I	Endocrinology/Metabolic	0.915
2024 ELI LILLY J2A-MC-GZPI: A Multiple-Dose Study to Investigate the Bioequivalence of Orforglipron (LY3502970) Capsules and Orforglipron Tablets in Participants with Obesity or Overweight who are Otherwise Healthy	2024 ELI LILLY: A Multiple-Dose Study to Investigate the Bioequivalence of Orforglipron (LY3502970) Capsules and Orforglipron Tablets in Participants with Obesity or Overweight who are Otherwise Healthy	Phase I	Endocrinology/Metabolic	0.971
2024 ELI LILLY AND COMPANY J4P-MC-IYAA: A Single- and Multiple-Ascending Dose Phase 1 Study to Assess the Safety, Tolerability, and Pharmacokinetics of XXXX in Healthy Participants with Type 2 Diabetes Mellitus	2024 ELI LILLY AND COMPANY: A Single- and Multiple-Ascending Dose Phase 1 Study to Assess the Safety, Tolerability, and Pharmacokinetics of XXXX in Healthy Participants with Type 2 Diabetes Mellitus	Phase I	Endocrinology/Metabolic	0.970
2024 PFIZER C4001002: A Phase 1, Randomized, Double-Blind, Sponsor-Open, Placebo-Controlled Study to assess the Safety, Tolerability, and Pharmacokinetics of Multiple Escalating Oral Doses of XXXX in Adult Participants with Type 2 Diabetes Mellitus	2024 PFIZER: A Phase 1, Randomized, Double-Blind, Sponsor-Open, Placebo-Controlled Study to assess the Safety, Tolerability, and Pharmacokinetics of Multiple Escalating Oral Doses of XXXX in Adult Participants with Type 2 Diabetes Mellitus	Phase I	Endocrinology/Metabolic	1.000
2023 GASHERBRUM: A Phase 1b/2a, Randomized, Double-blind, Placebo-controlled, Study of the Safety, Tolerability, Pharmacokinetics, and Pharmacodynamics of Multiple Ascending Doses of XXXX in Adult Overweight or Obese Healthy Subjects and in Subjects with Type 2 Diabetes Mellitus on Metformin	2023 GASHERBRUM: A Phase 1b/2a, Randomized, Double-blind, Placebo-controlled, Study of the Safety, Tolerability, Pharmacokinetics, and Pharmacodynamics of Multiple Ascending Doses of XXXX in Adult Overweight or Obese Healthy Subjects and in Subjects with Type 2 Diabetes Mellitus on Metformin	Phase I	Endocrinology/Metabolic	1.000
2022 ECCOGENE: A Randomized, Double-Blind, Placebo-Controlled, Single and Repeated Dose Escalation, First-Time-In-Human Study to Investigate the Safety, Tolerability, Pharmacokinetics and Pharmacodynamics of XXXX in Healthy Participants and in Patients with Type 2 Diabetes Mellitus	2022 ECCOGENE: A Randomized, Double-Blind, Placebo-Controlled, Single and Repeated Dose Escalation, First-Time-In-Human Study to Investigate the Safety, Tolerability, Pharmacokinetics and Pharmacodynamics of XXXX in Healthy Participants and in Patients with Type 2 Diabetes Mellitus	Phase I	Endocrinology/Metabolic	1.000
2020 AMGEN, INC.: A Phase 1, Randomized, Double-Blind, Placebo Controlled, Single Ascending Dose Study to Evaluate the Safety, Tolerability, Pharmacokinetics and Pharmacodynamics of XXXX in Subjects with Obesity.	2020 AMGEN, INC.: A Phase 1, Randomized, Double-Blind, Placebo Controlled, Single Ascending Dose Study to Evaluate the Safety, Tolerability, Pharmacokinetics and Pharmacodynamics of XXXX in Subjects with Obesity.	Phase I	Endocrinology/Metabolic	1.000
2020 ELI LILLY & CO: A Multiple-ascending Dose Study to Evaluate the Safety, Tolerability, Pharmacokinetics, and Pharmacodynamics of XXXX in Patients with Type 2 Diabetes Mellitus	2020 ELI LILLY & CO: A Multiple-ascending Dose Study to Evaluate the Safety, Tolerability, Pharmacokinetics, and Pharmacodynamics of XXXX in Patients with Type 2 Diabetes Mellitus	Phase I	Endocrinology/Metabolic	1.000
